lon,lat,equipment,domain,indicator_title_id
-0.579208,44.838971,"Epicerie, supérette",Commerces,2
-0.555199,44.860532,"Epicerie, supérette",Commerces,2
-0.547068,44.841219,"Epicerie, supérette",Commerces,2
-0.567275,44.836027,"Epicerie, supérette",Commerces,2
-0.567474,44.835708,"Epicerie, supérette",Commerces,2
-0.567048,44.835235,"Epicerie, supérette",Commerces,2
-0.573552,44.812786,"Epicerie, supérette",Commerces,2
-0.580068,44.846806,"Epicerie, supérette",Commerces,2
-0.579226,44.85976,"Epicerie, supérette",Commerces,2
-0.62342,44.85843,"Epicerie, supérette",Commerces,2
-0.554597,44.823809,"Epicerie, supérette",Commerces,2
-0.548147,44.875763,"Epicerie, supérette",Commerces,2
-0.569868,44.830728,"Epicerie, supérette",Commerces,2
-0.539428,44.852499,"Epicerie, supérette",Commerces,2
-0.558418,44.861037,"Epicerie, supérette",Commerces,2
-0.568527,44.829845,"Epicerie, supérette",Commerces,2
-0.581126,44.841082,"Epicerie, supérette",Commerces,2
-0.577766,44.844424,"Epicerie, supérette",Commerces,2
-0.579065,44.845822,"Epicerie, supérette",Commerces,2
-0.562212,44.832926,"Epicerie, supérette",Commerces,2
-0.556635,44.859089,"Epicerie, supérette",Commerces,2
-0.581675,44.84156,"Epicerie, supérette",Commerces,2
-0.582204,44.848242,"Epicerie, supérette",Commerces,2
-0.573226,44.8725,"Epicerie, supérette",Commerces,2
-0.589648,44.842886,"Epicerie, supérette",Commerces,2
-0.561519,44.828278,"Epicerie, supérette",Commerces,2
-0.569615,44.835134,"Epicerie, supérette",Commerces,2
-0.567134,44.832238,"Epicerie, supérette",Commerces,2
-0.546907,44.872169,"Epicerie, supérette",Commerces,2
-0.58493,44.829403,"Epicerie, supérette",Commerces,2
-0.577811,44.844581,"Epicerie, supérette",Commerces,2
-0.602542,44.849653,"Epicerie, supérette",Commerces,2
-0.571949,44.842523,"Epicerie, supérette",Commerces,2
-0.601707,44.844668,"Epicerie, supérette",Commerces,2
-0.570608,44.83899,"Epicerie, supérette",Commerces,2
-0.573958,44.847577,"Epicerie, supérette",Commerces,2
-0.572928,44.854529,"Epicerie, supérette",Commerces,2
-0.568958,44.828216,"Epicerie, supérette",Commerces,2
-0.566517,44.83597,"Epicerie, supérette",Commerces,2
-0.569206,44.827209,"Epicerie, supérette",Commerces,2
-0.568538,44.830751,"Epicerie, supérette",Commerces,2
-0.572928,44.854529,"Epicerie, supérette",Commerces,2
-0.576002,44.827152,"Epicerie, supérette",Commerces,2
-0.574425,44.851116,"Epicerie, supérette",Commerces,2
-0.598022,44.848477,"Epicerie, supérette",Commerces,2
-0.572329,44.820786,"Epicerie, supérette",Commerces,2
-0.545437,44.886013,"Epicerie, supérette",Commerces,2
-0.572689,44.873071,"Epicerie, supérette",Commerces,2
-0.578198,44.859895,"Epicerie, supérette",Commerces,2
-0.569206,44.827209,"Epicerie, supérette",Commerces,2
-0.574603,44.831205,"Epicerie, supérette",Commerces,2
-0.566694,44.836365,"Epicerie, supérette",Commerces,2
-0.571448,44.830507,"Epicerie, supérette",Commerces,2
-0.568457,44.837902,"Epicerie, supérette",Commerces,2
-0.564755,44.834881,"Epicerie, supérette",Commerces,2
-0.567207,44.831283,"Epicerie, supérette",Commerces,2
-0.601707,44.844668,"Epicerie, supérette",Commerces,2
-0.572413,44.815361,"Epicerie, supérette",Commerces,2
-0.56734,44.835692,"Epicerie, supérette",Commerces,2
-0.588158,44.832732,"Epicerie, supérette",Commerces,2
-0.565674,44.833834,"Epicerie, supérette",Commerces,2
-0.577106,44.839191,"Epicerie, supérette",Commerces,2
-0.562597,44.856359,"Epicerie, supérette",Commerces,2
-0.581487,44.84276,"Epicerie, supérette",Commerces,2
-0.5862,44.85009,"Epicerie, supérette",Commerces,2
-0.581517,44.842939,"Epicerie, supérette",Commerces,2
-0.571431,44.835773,"Epicerie, supérette",Commerces,2
-0.565453,44.833808,"Epicerie, supérette",Commerces,2
-0.541766,44.886357,"Epicerie, supérette",Commerces,2
-0.568328,44.829365,"Epicerie, supérette",Commerces,2
-0.564111,44.834557,"Epicerie, supérette",Commerces,2
-0.56726,44.835271,"Epicerie, supérette",Commerces,2
-0.576106,44.817066,"Epicerie, supérette",Commerces,2
-0.567525,44.826667,"Epicerie, supérette",Commerces,2
-0.596205,44.840524,"Epicerie, supérette",Commerces,2
-0.577256,44.834823,"Epicerie, supérette",Commerces,2
-0.571934,44.828283,"Epicerie, supérette",Commerces,2
-0.567918,44.830158,"Epicerie, supérette",Commerces,2
-0.566551,44.837127,"Epicerie, supérette",Commerces,2
-0.568712,44.830961,"Epicerie, supérette",Commerces,2
-0.543066,44.850436,"Epicerie, supérette",Commerces,2
-0.568557,44.828224,"Epicerie, supérette",Commerces,2
-0.574529,44.828275,"Epicerie, supérette",Commerces,2
-0.560837,44.862363,"Epicerie, supérette",Commerces,2
-0.557473,44.826698,"Epicerie, supérette",Commerces,2
-0.560969,44.828287,"Epicerie, supérette",Commerces,2
-0.549405,44.841106,"Epicerie, supérette",Commerces,2
-0.566826,44.837391,"Epicerie, supérette",Commerces,2
-0.569615,44.835134,"Epicerie, supérette",Commerces,2
-0.564391,44.83308,"Epicerie, supérette",Commerces,2
-0.600254,44.819442,"Epicerie, supérette",Commerces,2
-0.581894,44.848021,"Epicerie, supérette",Commerces,2
-0.575583,44.837935,"Epicerie, supérette",Commerces,2
-0.598578,44.826959,"Epicerie, supérette",Commerces,2
-0.624007,44.858323,"Epicerie, supérette",Commerces,2
-0.551888,44.84047,"Epicerie, supérette",Commerces,2
-0.568414,44.835285,"Epicerie, supérette",Commerces,2
-0.575647,44.838681,"Epicerie, supérette",Commerces,2
-0.569048,44.835292,"Epicerie, supérette",Commerces,2
-0.579606,44.843291,"Epicerie, supérette",Commerces,2
-0.563609,44.826036,"Epicerie, supérette",Commerces,2
-0.579181,44.839138,"Epicerie, supérette",Commerces,2
-0.572354,44.827389,"Epicerie, supérette",Commerces,2
-0.571491,44.836245,"Epicerie, supérette",Commerces,2
-0.573647,44.812924,"Epicerie, supérette",Commerces,2
-0.567796,44.834518,"Epicerie, supérette",Commerces,2
-0.600113,44.81929,"Epicerie, supérette",Commerces,2
-0.558305,44.841267,"Epicerie, supérette",Commerces,2
-0.57219,44.829502,"Epicerie, supérette",Commerces,2
-0.570708,44.839405,"Epicerie, supérette",Commerces,2
-0.568065,44.835568,"Epicerie, supérette",Commerces,2
-0.57504,44.859623,"Epicerie, supérette",Commerces,2
-0.573157,44.833971,"Epicerie, supérette",Commerces,2
-0.587385,44.848288,"Epicerie, supérette",Commerces,2
-0.570854,44.852189,"Epicerie, supérette",Commerces,2
-0.569048,44.835292,"Epicerie, supérette",Commerces,2
-0.583681,44.851732,"Epicerie, supérette",Commerces,2
-0.571097,44.814129,"Epicerie, supérette",Commerces,2
-0.574603,44.831205,"Epicerie, supérette",Commerces,2
-0.5686,44.835667,"Epicerie, supérette",Commerces,2
-0.57368,44.811843,"Epicerie, supérette",Commerces,2
-0.552088,44.8635,"Epicerie, supérette",Commerces,2
-0.560258,44.892117,"Epicerie, supérette",Commerces,2
-0.576181,44.851448,"Epicerie, supérette",Commerces,2
-0.57582,44.838981,"Epicerie, supérette",Commerces,2
-0.60285,44.844696,"Epicerie, supérette",Commerces,2
-0.556598,45.038136,"Epicerie, supérette",Commerces,2
-0.552401,45.041374,"Epicerie, supérette",Commerces,2
-0.600597,44.86092,"Epicerie, supérette",Commerces,2
-0.591813,44.858201,"Epicerie, supérette",Commerces,2
-0.58219,44.866337,"Epicerie, supérette",Commerces,2
-0.59963,44.86474,"Epicerie, supérette",Commerces,2
-0.600484,44.861377,"Epicerie, supérette",Commerces,2
-0.593071,44.85469,"Epicerie, supérette",Commerces,2
-0.602048,44.861934,"Epicerie, supérette",Commerces,2
-0.617858,44.880017,"Epicerie, supérette",Commerces,2
-0.582488,44.874644,"Epicerie, supérette",Commerces,2
-0.448413,44.764904,"Epicerie, supérette",Commerces,2
-0.64103,44.750555,"Epicerie, supérette",Commerces,2
-0.653205,44.764198,"Epicerie, supérette",Commerces,2
-0.645123,44.754738,"Epicerie, supérette",Commerces,2
-0.59034,45.172155,"Epicerie, supérette",Commerces,2
-0.579895,45.185052,"Epicerie, supérette",Commerces,2
-0.44432,44.696647,"Epicerie, supérette",Commerces,2
-0.462066,44.779994,"Epicerie, supérette",Commerces,2
-0.536898,44.854092,"Epicerie, supérette",Commerces,2
-0.51935,44.852223,"Epicerie, supérette",Commerces,2
-0.538578,44.842421,"Epicerie, supérette",Commerces,2
-0.534524,44.856058,"Epicerie, supérette",Commerces,2
-0.519595,44.861137,"Epicerie, supérette",Commerces,2
-0.52148,44.862906,"Epicerie, supérette",Commerces,2
-0.538136,44.852988,"Epicerie, supérette",Commerces,2
-0.538578,44.842421,"Epicerie, supérette",Commerces,2
-0.540734,44.84248,"Epicerie, supérette",Commerces,2
-0.701555,44.772065,"Epicerie, supérette",Commerces,2
-0.681509,44.738343,"Epicerie, supérette",Commerces,2
-0.765168,44.738792,"Epicerie, supérette",Commerces,2
-0.831923,45.227194,"Epicerie, supérette",Commerces,2
-0.454491,44.969997,"Epicerie, supérette",Commerces,2
-0.429469,44.972871,"Epicerie, supérette",Commerces,2
-0.453692,44.971753,"Epicerie, supérette",Commerces,2
-0.651178,44.885808,"Epicerie, supérette",Commerces,2
-0.631908,44.88355,"Epicerie, supérette",Commerces,2
-0.5292,44.81792,"Epicerie, supérette",Commerces,2
-0.527711,44.830086,"Epicerie, supérette",Commerces,2
-0.527301,44.829789,"Epicerie, supérette",Commerces,2
-0.528036,44.827398,"Epicerie, supérette",Commerces,2
-0.52746,44.828131,"Epicerie, supérette",Commerces,2
-0.530552,44.838345,"Epicerie, supérette",Commerces,2
-0.527905,44.829882,"Epicerie, supérette",Commerces,2
-0.616642,45.063371,"Epicerie, supérette",Commerces,2
-0.608338,44.780407,"Epicerie, supérette",Commerces,2
-0.610634,44.78107,"Epicerie, supérette",Commerces,2
-0.599729,44.784292,"Epicerie, supérette",Commerces,2
-0.679364,44.874446,"Epicerie, supérette",Commerces,2
-0.678421,44.873165,"Epicerie, supérette",Commerces,2
-0.68075,44.878289,"Epicerie, supérette",Commerces,2
-0.474021,44.725005,"Epicerie, supérette",Commerces,2
-0.520335,44.688268,"Epicerie, supérette",Commerces,2
-0.528825,44.679797,"Epicerie, supérette",Commerces,2
-0.528559,44.680665,"Epicerie, supérette",Commerces,2
-0.400996,44.706854,"Epicerie, supérette",Commerces,2
-0.600962,44.729422,"Epicerie, supérette",Commerces,2
-0.791226,45.073843,"Epicerie, supérette",Commerces,2
-0.790891,45.073586,"Epicerie, supérette",Commerces,2
-0.522604,44.88559,"Epicerie, supérette",Commerces,2
-0.500015,44.878911,"Epicerie, supérette",Commerces,2
-0.507845,44.882572,"Epicerie, supérette",Commerces,2
-0.532837,44.877876,"Epicerie, supérette",Commerces,2
-0.532155,44.865339,"Epicerie, supérette",Commerces,2
-0.525104,44.882817,"Epicerie, supérette",Commerces,2
-0.537034,44.873167,"Epicerie, supérette",Commerces,2
-0.520189,44.87372,"Epicerie, supérette",Commerces,2
-0.524541,44.867502,"Epicerie, supérette",Commerces,2
-0.51436,44.872228,"Epicerie, supérette",Commerces,2
-0.520814,44.880257,"Epicerie, supérette",Commerces,2
-0.513687,44.877777,"Epicerie, supérette",Commerces,2
-0.52028,44.866616,"Epicerie, supérette",Commerces,2
-0.530559,44.883317,"Epicerie, supérette",Commerces,2
-0.604208,44.981838,"Epicerie, supérette",Commerces,2
-0.66041,44.830244,"Epicerie, supérette",Commerces,2
-0.632873,44.851391,"Epicerie, supérette",Commerces,2
-0.627406,44.834665,"Epicerie, supérette",Commerces,2
-0.658061,44.856558,"Epicerie, supérette",Commerces,2
-0.623887,44.824122,"Epicerie, supérette",Commerces,2
-0.654718,44.850077,"Epicerie, supérette",Commerces,2
-0.64708,44.831412,"Epicerie, supérette",Commerces,2
-0.647388,44.830625,"Epicerie, supérette",Commerces,2
-0.623887,44.824122,"Epicerie, supérette",Commerces,2
-0.658061,44.856558,"Epicerie, supérette",Commerces,2
-0.68272,44.844521,"Epicerie, supérette",Commerces,2
-0.627406,44.834665,"Epicerie, supérette",Commerces,2
-0.713344,44.842075,"Epicerie, supérette",Commerces,2
-0.6472,44.831614,"Epicerie, supérette",Commerces,2
-0.633143,44.844117,"Epicerie, supérette",Commerces,2
-0.654916,44.832508,"Epicerie, supérette",Commerces,2
-0.636698,44.814968,"Epicerie, supérette",Commerces,2
-0.66478,44.848595,"Epicerie, supérette",Commerces,2
-0.646224,44.841426,"Epicerie, supérette",Commerces,2
-0.770576,45.0596,"Epicerie, supérette",Commerces,2
-0.602163,44.948117,"Epicerie, supérette",Commerces,2
-0.764412,45.214125,"Epicerie, supérette",Commerces,2
-0.634726,44.790323,"Epicerie, supérette",Commerces,2
-0.704963,44.793683,"Epicerie, supérette",Commerces,2
-0.682355,44.792524,"Epicerie, supérette",Commerces,2
-0.605286,44.794276,"Epicerie, supérette",Commerces,2
-0.63078,44.798536,"Epicerie, supérette",Commerces,2
-0.652414,44.7806,"Epicerie, supérette",Commerces,2
-0.62709,44.806984,"Epicerie, supérette",Commerces,2
-0.632023,44.805402,"Epicerie, supérette",Commerces,2
-0.624293,44.949328,"Epicerie, supérette",Commerces,2
-0.439257,44.850009,"Epicerie, supérette",Commerces,2
-0.449557,44.853442,"Epicerie, supérette",Commerces,2
-0.424562,44.69417,"Epicerie, supérette",Commerces,2
-0.420882,44.688587,"Epicerie, supérette",Commerces,2
-0.496117,45.035031,"Epicerie, supérette",Commerces,2
-0.497306,45.0812,"Epicerie, supérette",Commerces,2
-0.496977,44.758714,"Epicerie, supérette",Commerces,2
-0.444482,44.996408,"Epicerie, supérette",Commerces,2
-0.416981,45.004561,"Epicerie, supérette",Commerces,2
-0.445464,44.994548,"Epicerie, supérette",Commerces,2
-0.445726,44.994874,"Epicerie, supérette",Commerces,2
-0.723983,44.912585,"Epicerie, supérette",Commerces,2
-0.508637,45.130496,"Epicerie, supérette",Commerces,2
-0.772102,45.26405,"Epicerie, supérette",Commerces,2
-0.490488,44.90236,"Epicerie, supérette",Commerces,2
-0.490725,44.90339,"Epicerie, supérette",Commerces,2
-0.748608,44.815408,"Epicerie, supérette",Commerces,2
-0.78321,44.810658,"Epicerie, supérette",Commerces,2
-0.821777,45.149752,"Epicerie, supérette",Commerces,2
-0.463131,45.034785,"Epicerie, supérette",Commerces,2
-0.46956,45.033623,"Epicerie, supérette",Commerces,2
-0.464163,44.43267,"Epicerie, supérette",Commerces,2
-0.427888,44.916909,"Epicerie, supérette",Commerces,2
-0.422184,44.915283,"Epicerie, supérette",Commerces,2
-0.533772,44.953147,"Epicerie, supérette",Commerces,2
-0.655628,44.526106,"Epicerie, supérette",Commerces,2
-0.648726,45.133215,"Epicerie, supérette",Commerces,2
-0.514008,44.719972,"Epicerie, supérette",Commerces,2
-0.503023,44.694569,"Epicerie, supérette",Commerces,2
-0.734534,44.90452,"Epicerie, supérette",Commerces,2
-0.710831,44.895855,"Epicerie, supérette",Commerces,2
-0.745253,44.903857,"Epicerie, supérette",Commerces,2
-0.743535,44.898131,"Epicerie, supérette",Commerces,2
-0.701779,44.888066,"Epicerie, supérette",Commerces,2
-0.715451,44.89446,"Epicerie, supérette",Commerces,2
-0.505688,44.650812,"Epicerie, supérette",Commerces,2
-0.605856,45.147895,"Epicerie, supérette",Commerces,2
-0.834548,45.203215,"Epicerie, supérette",Commerces,2
-0.809324,45.281181,"Epicerie, supérette",Commerces,2
-0.579466,45.08121,"Epicerie, supérette",Commerces,2
-0.830096,44.936148,"Epicerie, supérette",Commerces,2
-0.857471,44.552063,"Epicerie, supérette",Commerces,2
-0.502971,45.178468,"Epicerie, supérette",Commerces,2
-0.668281,44.905856,"Epicerie, supérette",Commerces,2
-0.701657,44.905303,"Epicerie, supérette",Commerces,2
-0.583823,44.8204,"Epicerie, supérette",Commerces,2
-0.585811,44.817519,"Epicerie, supérette",Commerces,2
-0.585091,44.792877,"Epicerie, supérette",Commerces,2
-0.588064,44.790995,"Epicerie, supérette",Commerces,2
-0.586877,44.814609,"Epicerie, supérette",Commerces,2
-0.593684,44.802588,"Epicerie, supérette",Commerces,2
-0.596692,44.815934,"Epicerie, supérette",Commerces,2
-0.583305,44.821309,"Epicerie, supérette",Commerces,2
-0.572977,44.806242,"Epicerie, supérette",Commerces,2
-0.584339,44.819321,"Epicerie, supérette",Commerces,2
-0.513028,45.036958,"Epicerie, supérette",Commerces,2
-0.501304,45.049587,"Epicerie, supérette",Commerces,2
-0.583387,44.772775,"Epicerie, supérette",Commerces,2
-0.565486,44.763935,"Epicerie, supérette",Commerces,2
-0.541458,44.773015,"Epicerie, supérette",Commerces,2
-0.546201,44.780991,"Epicerie, supérette",Commerces,2
-0.576102,44.777418,"Epicerie, supérette",Commerces,2
-0.857846,44.690474,"Epicerie, supérette",Commerces,2
-0.850381,44.695054,"Epicerie, supérette",Commerces,2
-0.746815,44.427921,"Epicerie, supérette",Commerces,2
-0.402041,45.283729,Boulangerie,Commerces,2
-0.410884,45.284894,Boulangerie,Commerces,2
-0.41146,45.283233,Boulangerie,Commerces,2
-0.410012,45.285763,Boulangerie,Commerces,2
-0.490318,44.926975,Boulangerie,Commerces,2
-0.488611,44.94774,Boulangerie,Commerces,2
-0.509825,44.926095,Boulangerie,Commerces,2
-0.481025,44.917444,Boulangerie,Commerces,2
-0.479832,44.920978,Boulangerie,Commerces,2
-0.490318,44.926975,Boulangerie,Commerces,2
-0.487382,44.927622,Boulangerie,Commerces,2
-0.487971,44.925464,Boulangerie,Commerces,2
-0.505766,44.919552,Boulangerie,Commerces,2
-0.531507,45.012115,Boulangerie,Commerces,2
-0.528807,45.012918,Boulangerie,Commerces,2
-0.636329,45.21263,Boulangerie,Commerces,2
-0.687983,44.997067,Boulangerie,Commerces,2
-0.693647,44.993637,Boulangerie,Commerces,2
-0.47272,44.86521,Boulangerie,Commerces,2
-0.489937,44.862438,Boulangerie,Commerces,2
-0.498206,44.854706,Boulangerie,Commerces,2
-0.422521,45.023824,Boulangerie,Commerces,2
-0.758792,45.034234,Boulangerie,Commerces,2
-0.769621,44.60607,Boulangerie,Commerces,2
-0.513265,44.903646,Boulangerie,Commerces,2
-0.516588,44.900267,Boulangerie,Commerces,2
-0.449346,44.699882,Boulangerie,Commerces,2
-0.454807,44.705764,Boulangerie,Commerces,2
-0.57154,44.804983,Boulangerie,Commerces,2
-0.533731,44.798265,Boulangerie,Commerces,2
-0.553853,44.808057,Boulangerie,Commerces,2
-0.54877,44.816338,Boulangerie,Commerces,2
-0.565894,44.784038,Boulangerie,Commerces,2
-0.549583,44.79962,Boulangerie,Commerces,2
-0.554101,44.813958,Boulangerie,Commerces,2
-0.544841,44.813843,Boulangerie,Commerces,2
-0.544473,44.801675,Boulangerie,Commerces,2
-0.560888,44.807938,Boulangerie,Commerces,2
-0.544752,44.802177,Boulangerie,Commerces,2
-0.564121,44.812337,Boulangerie,Commerces,2
-0.566998,44.805637,Boulangerie,Commerces,2
-0.56946,44.799149,Boulangerie,Commerces,2
-0.563868,44.811672,Boulangerie,Commerces,2
-0.554834,44.794753,Boulangerie,Commerces,2
-0.549583,44.79962,Boulangerie,Commerces,2
-0.549386,44.811499,Boulangerie,Commerces,2
-0.549015,44.807078,Boulangerie,Commerces,2
-0.5512,44.811869,Boulangerie,Commerces,2
-0.553853,44.808057,Boulangerie,Commerces,2
-0.54741,44.81742,Boulangerie,Commerces,2
-0.558063,44.804188,Boulangerie,Commerces,2
-0.789852,44.502751,Boulangerie,Commerces,2
-0.791855,44.493381,Boulangerie,Commerces,2
-0.786467,44.508008,Boulangerie,Commerces,2
-0.790234,44.494028,Boulangerie,Commerces,2
-0.583294,45.108181,Boulangerie,Commerces,2
-0.635919,44.912847,Boulangerie,Commerces,2
-0.634028,44.909904,Boulangerie,Commerces,2
-0.622884,44.908729,Boulangerie,Commerces,2
-0.637585,44.906796,Boulangerie,Commerces,2
-0.627283,44.918286,Boulangerie,Commerces,2
-0.638965,44.908459,Boulangerie,Commerces,2
-0.663833,45.125038,Boulangerie,Commerces,2
-0.653148,45.130593,Boulangerie,Commerces,2
-0.659324,45.120382,Boulangerie,Commerces,2
-0.410854,44.821497,Boulangerie,Commerces,2
-0.566402,44.835025,Boulangerie,Commerces,2
-0.543923,44.8491,Boulangerie,Commerces,2
-0.574697,44.84062,Boulangerie,Commerces,2
-0.611861,44.832465,Boulangerie,Commerces,2
-0.569618,44.830832,Boulangerie,Commerces,2
-0.585907,44.827716,Boulangerie,Commerces,2
-0.547068,44.875153,Boulangerie,Commerces,2
-0.590619,44.838343,Boulangerie,Commerces,2
-0.578561,44.838472,Boulangerie,Commerces,2
-0.635612,44.857143,Boulangerie,Commerces,2
-0.571763,44.819157,Boulangerie,Commerces,2
-0.579654,44.84076,Boulangerie,Commerces,2
-0.618601,44.856811,Boulangerie,Commerces,2
-0.581318,44.841915,Boulangerie,Commerces,2
-0.573031,44.832573,Boulangerie,Commerces,2
-0.571032,44.832742,Boulangerie,Commerces,2
-0.54773,44.847641,Boulangerie,Commerces,2
-0.570865,44.840154,Boulangerie,Commerces,2
-0.581318,44.841915,Boulangerie,Commerces,2
-0.597809,44.83078,Boulangerie,Commerces,2
-0.573105,44.838231,Boulangerie,Commerces,2
-0.561278,44.824837,Boulangerie,Commerces,2
-0.558445,44.840442,Boulangerie,Commerces,2
-0.571633,44.879832,Boulangerie,Commerces,2
-0.573546,44.8348,Boulangerie,Commerces,2
-0.577266,44.843092,Boulangerie,Commerces,2
-0.56005,44.843267,Boulangerie,Commerces,2
-0.588015,44.853272,Boulangerie,Commerces,2
-0.624511,44.858622,Boulangerie,Commerces,2
-0.610651,44.833563,Boulangerie,Commerces,2
-0.573524,44.837366,Boulangerie,Commerces,2
-0.582683,44.821781,Boulangerie,Commerces,2
-0.600636,44.827004,Boulangerie,Commerces,2
-0.577998,44.831339,Boulangerie,Commerces,2
-0.573067,44.840557,Boulangerie,Commerces,2
-0.591783,44.845231,Boulangerie,Commerces,2
-0.614014,44.825247,Boulangerie,Commerces,2
-0.591012,44.824841,Boulangerie,Commerces,2
